file,label,A_dist,B_sim
20260908_163919.npz,owner,700,0.9518121628467069
20260908_163930.npz,owner,1101,0.9705856697846149
20260908_163942.npz,owner,1734,0.9329814401965859
20260908_163946.npz,owner,866,0.9637031570860164
20260908_163954.npz,owner,324,0.882845786737987
20260908_164004.npz,owner,690,0.9811662362790954
20260908_164011.npz,owner,910,0.9908460288536323
20260908_164023.npz,owner,843,0.9906600348574145
20260908_164040.npz,owner,1741,0.9687618358455763
20260908_164053.npz,owner,967,0.9900771338253007
20260908_164103.npz,owner,1057,0.9633958485635048
20260908_164109.npz,owner,1617,0.972668912527215
20260908_164121.npz,owner,2898,0.9918434591731753
20260908_164128.npz,owner,1513,0.9512975626351119
20260908_164135.npz,owner,1412,0.9905667373298082
20260908_164842.npz,impostor,998.0,0.8551986076475118
20260908_164851.npz,impostor,1118.0,0.859638131099437
20260908_164902.npz,impostor,1201.0,0.8938514572242466
20260908_164905.npz,impostor,1190.0,0.8882979579209376
20260908_164913.npz,impostor,739.0,0.8364464225198129
20260908_164920.npz,impostor,483.0,0.7845708647471994
20260908_164928.npz,impostor,6061.0,0.7813891615070041
20260908_164938.npz,impostor,1469.0,0.7953152560847331
20260908_164951.npz,impostor,2466.0,0.8300485559308589
20260908_165000.npz,impostor,2410.0,0.8221066254938948
20260908_165015.npz,impostor,936.0,0.821082756343934
20260908_165022.npz,impostor,1093.0,0.7907666556010865
20260908_165033.npz,impostor,1909.0,0.7825400747361939
20260908_165043.npz,impostor,1722.0,0.8446890668278141
20260908_165300.npz,impostor,3495.0,0.9181687189537014
20260908_165310.npz,impostor,2783.0,0.9238929783161376
20260908_165319.npz,impostor,3706.0,0.9435968412064277
20260908_165331.npz,impostor,3201.0,0.8635677801109052
20260908_165407.npz,impostor,2054.0,0.8464999042980348
20260908_165434.npz,impostor,2905.0,0.8441007454742304
20260908_165448.npz,impostor,3164.0,0.8703066656023981
20260908_165501.npz,impostor,1620.0,0.8215754203252561
20260908_165526.npz,impostor,2493.0,0.8344352527516488
20260908_165537.npz,impostor,2010.0,0.8459464868797083
